"","X","sample","sex","age","reg","ctg","size","moult","exp","prep","flag","type","qual","length","codeset","cohdate","regentime","wkage","key","over0reads","over10reads","predage"
"92",92,"Gun","F","O","",8,"I",NA,"regen","Luke",FALSE,"O","ok",7.1,"phaw_1",NA,NA,NA,"Gun 8",145,93,41.4015232674388
"93",93,"Greg","F","O","R",8,"I",NA,"regen","Luke",FALSE,"OR","ok",7.1,"phaw_1",NA,4,NA,"Greg 8",140,107,41.4015232674388
"94",94,"LFIA","F","O","",8,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LFIA 8",86,86,NA
"95",95,"LFIB","F","O","",8,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LFIB 8",118,118,NA
"96",96,"20mPB","F","N","",8,"P",20,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"20mPB 8",131,71,NA
"97",97,"LFIC","F","O","",9,"I",NA,"OvY","Luke",TRUE,"O","ok",NA,"phaw_1",NA,NA,NA,"LFIC 9",187,26,NA
"98",98,"LFID","F","O","",9,"I",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LFID 9",112,19,NA
"99",99,"OmID","F","N","",9,"I",0,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"OmID 9",148,25,NA
"100",100,"10mIA","F","N","",9,"I",10,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"10mIA 9",118,28,NA
"101",101,"n","F","N","",9,"I",NA,"moult","Luke",TRUE,"N","bad",NA,"phaw_1",NA,NA,NA,"n 9",1,1,NA
"102",102,"20mIC","F","N","",9,"I",20,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"20mIC 9",126,16,NA
"103",103,"Ibef","F","O","",9,"I",NA,"regen","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"Ibef 9",87,18,NA
"104",104,"Iun","F","O","",9,"I",NA,"regen","Luke",FALSE,"O","bad",NA,"phaw_1",NA,NA,NA,"Iun 9",27,27,NA
